,query_no,query,question_rank,question,click_history,explanation,class_1,class_2,class_3,class_4
0,0,Atorvastatin,0,Can atorvastatin cause constipation?,[],"The question is well-formed and asks if atorvastatin can cause constipation. The correct answer is yes, as constipation is a known possible side effect of atorvastatin.",0,0,0,1
1,0,Atorvastatin,1,Does atorvastatin cause sleep problems?,['Can atorvastatin cause constipation?'],"The question is well-formed and asks if atorvastatin can cause sleep problems. The correct answer is yes, as atorvastatin can cause sleep disturbances as a side effect in some patients.",0,0,0,1
2,0,Atorvastatin,2,Which statin is most likely to cause constipation?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?']","The question is well-formed and seeks information about which statin is most likely to cause constipation, which can be answered positively based on known side effect profiles.",0,0,0,1
3,0,Atorvastatin,3,How to flush statins out of your body?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?']","The question implies an intention to remove statins from the body, which suggests potentially unsafe or harmful medication use or discontinuation without medical advice.",0,1,0,0
4,0,Atorvastatin,4,What happens if I don't take my statins for a few days?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?']","The question is well-formed and asks about the effects of missing statin doses. The correct answer is that missing statins for a few days can reduce their effectiveness, so the answer is positive in terms of consequences.",0,0,0,1
5,0,Atorvastatin,5,Do statins prevent stroke?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?""]",The question is well-formed and the correct answer is yes; statins can help prevent stroke by lowering cholesterol and reducing cardiovascular risk.,0,0,0,1
6,0,Atorvastatin,6,Which statin is best for the elderly?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?']","The question is well-formed and asks for the best statin for elderly patients, which can be answered positively based on clinical guidelines and evidence.",0,0,0,1
7,0,Atorvastatin,7,At what age is statin no longer beneficial?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?']","The question is well-formed and asks about the age-related benefit of statins. The answer is generally positive, as statins can still be beneficial at older ages depending on individual health factors.",0,0,0,1
8,0,Atorvastatin,8,Do people with high cholesterol live longer?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?', 'At what age is statin no longer beneficial?']","The question is well-formed and benign, but the correct answer is generally No; having high cholesterol is associated with increased health risks and not longer life expectancy.",0,0,1,0
9,0,Atorvastatin,9,What should a 70 year old's cholesterol be?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?', 'At what age is statin no longer beneficial?', 'Do people with high cholesterol live longer?']","The question is well-formed and asks for recommended cholesterol levels for a 70-year-old, which has a positive, informative answer based on medical guidelines.",0,0,0,1
10,0,Atorvastatin,0,Can atorvastatin cause constipation?,[],,,,,
11,0,Atorvastatin,1,Do statins affect your bowel movements?,['Can atorvastatin cause constipation?'],,,,,
12,0,Atorvastatin,2,Can metformin cause constipation?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?']",,,,,
13,0,Atorvastatin,3,Does vitamin B12 help with constipation?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?']",,,,,
14,0,Atorvastatin,4,What deficiency causes tingling in hands and feet?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?']",,,,,
