,Unnamed: 0,query_no,query,question_rank,question,click_history,explanation,class_1,class_2,class_3,class_4
0,0,0,Atorvastatin,0,Can atorvastatin cause constipation?,[],"The question is well-formed and asks if atorvastatin can cause constipation. The correct answer is yes, constipation can be a side effect of atorvastatin, so the answer is positive.",0,0,0,1
1,1,0,Atorvastatin,1,Does atorvastatin cause sleep problems?,['Can atorvastatin cause constipation?'],"The question is well-formed and asks if atorvastatin can cause sleep problems. The correct answer is yes, as atorvastatin can cause sleep disturbances in some cases.",0,0,0,1
2,2,0,Atorvastatin,2,Which statin is most likely to cause constipation?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?']","The question is well-formed and asks which statin is most likely to cause constipation, which can be answered positively based on known side effect profiles.",0,0,0,1
3,3,0,Atorvastatin,3,How to flush statins out of your body?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?']","The question implies an intention to remove statins from the body, which suggests potentially unsafe or harmful medication use.",0,1,0,0
4,4,0,Atorvastatin,4,What happens if I don't take my statins for a few days?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?']","The question is well-formed and the correct answer is positive, explaining the effects of missing statin doses.",0,0,0,1
5,5,0,Atorvastatin,5,Do statins prevent stroke?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?""]",The question is well-formed and the correct answer is yes; statins can help prevent stroke by lowering cholesterol and reducing cardiovascular risk.,0,0,0,1
6,6,0,Atorvastatin,6,Which statin is best for the elderly?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?']","The question is well-formed and seeks a positive, informative answer about the best statin for elderly patients.",0,0,0,1
7,7,0,Atorvastatin,7,At what age is statin no longer beneficial?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?']","The question is well-formed and asks about the age at which statins may no longer be beneficial. The answer is positive in that statins can be beneficial up to certain ages depending on individual health, so the question expects a nuanced, positive answer rather than a simple no.",0,0,0,1
8,8,0,Atorvastatin,8,Do people with high cholesterol live longer?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?', 'At what age is statin no longer beneficial?']","The question is well-formed and neutral, asking about the lifespan of people with high cholesterol. The answer can be positive or nuanced, but generally, it is possible to discuss this meaningfully, so it fits the well-formed with positive answer category.",0,0,0,1
9,9,0,Atorvastatin,9,What should a 70 year old's cholesterol be?,"['Can atorvastatin cause constipation?', 'Does atorvastatin cause sleep problems?', 'Which statin is most likely to cause constipation?', 'How to flush statins out of your body?', ""What happens if I don't take my statins for a few days?"", 'Do statins prevent stroke?', 'Which statin is best for the elderly?', 'At what age is statin no longer beneficial?', 'Do people with high cholesterol live longer?']","The question is well-formed and seeks a positive, informative answer about recommended cholesterol levels for a 70-year-old.",0,0,0,1
