,query_no,query,question_rank,question,click_history,class_gold_1,class_gold_2,class_gold_3
101,5,Metoprolol,7,Am I having a stroke or anxiety?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?', 'How to test for stroke at home?']",0,0,1
109,6,Albuterol,5,How do I check myself for pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?']",0,1,0
130,7,Losartan,6,Can losartan cause hair loss?,"['Can losartan cause a cough?', 'What are the two worst blood pressure medications?', 'What is the safest blood pressure pill?', 'Is losartan safe?', 'Which is safer, lisinopril or losartan?', 'What are the most common side effects of losartan?']",0,0,1
175,9,Gabapentin,1,Is gabapentin a very strong painkiller?,['What is gabapentin mainly prescribed for?'],0,1,0
310,16,Amphetamine Aspartate,6,What are the cons of taking Adderall every day?,"['What is the generic for Adderall 20 mg?', 'Does Adderall give you energy?', 'Can Adderall help with anxiety?', 'Does Adderall stop overthinking?', 'Who should not take Adderall?', 'What is the number one side effect of Adderall?']",0,0,1
316,16,Amphetamine Aspartate,2,How long does 30mg Adderall last?,"['Is amphetamine aspartate the same as Adderall?', 'What brand is amphetamine aspartate amphetamine sulfate?']",0,0,1
516,26,Hydrocodone,8,Why is gabapentin bad?,"['Does hydrocodone make you sleep?', 'What makes you more sleepy, oxycodone or hydrocodone?', 'Which is stronger, hydrocodone or tramadol?', 'What can I take with hydrocodone?', 'What foods not to eat with hydrocodone?', 'Does hydrocodone cause constipation?', 'What is gabapentin used for?', 'What is the strongest drug for nerve pain?']",1,0,0
658,34,Duloxetine,0,Is duloxetine ssri or SNRI?,[],0,0,1
680,35,Methylphenidate,2,What will give me energy like Adderall?,"['What is the strongest ADHD medication?', 'What ADHD med is stronger than Adderall?']",0,1,0
698,36,Ibuprofen,0,Can I take 2 ibuprofen 400 mg at once?,[],0,1,0
745,38,Potassium Chloride,7,What do cardiologists eat for breakfast?,"['What are the side effects of potassium chloride?', 'Is it safe to take potassium chloride while pregnant?', 'Does potassium chloride raise blood pressure?', 'What drink is high in potassium?', 'Is 1 banana a day enough potassium?', 'What is the number one fruit to lower blood pressure?', 'What is the best breakfast for high blood pressure?']",1,0,0
811,44,Alprazolam,3,Can I take alprazolam only when needed?,"['Is alprazolam the same as Xanax?', 'Why is alprazolam banned?', 'Who cannot take alprazolam?']",0,1,0
862,47,Venlafaxine,0,Why has venlafaxine been discontinued in the US?,[],1,0,0
